AtlantaHawks,26,56,19805,2804,6448,485,1397,1235,1676,1047,3273,1662,607,1206,332,1747,7328
BostonCeltics,67,15,19905,3365,6696,493,1351,1626,2257,1005,3633,2130,720,1402,557,1827,8849
CharlotteHornets,28,54,19805,3056,6650,487,1364,1356,1857,1077,3333,1783,532,1099,335,1781,7955
ChicagoBulls,13,69,19730,2898,6653,471,1408,1305,1770,1088,3293,1619,624,1247,284,1732,7572
ClevelandCavaliers,40,42,19855,2488,5636,459,1229,1587,2138,846,3030,1647,549,1277,350,1748,7022
DallasMavericks,58,24,19805,2966,6469,530,1437,1482,1974,1098,3526,1794,687,1235,433,1720,7944
DenverNuggets,61,21,19930,3297,7062,484,1232,1457,1943,1086,3545,1846,724,1007,453,1725,8535
DetroitPistons,28,54,19830,2768,6231,528,1430,1229,1668,964,3228,1795,488,1151,282,1784,7293
GSWarriors,52,30,19905,3199,6732,581,1557,1578,2103,1087,3358,2159,823,1246,396,1887,8557
HoustonRockets,25,57,19855,3030,6845,519,1547,1302,1785,1029,3361,1835,731,1131,365,1734,7881
IndianaPacers,43,39,19930,2798,6354,499,1440,1642,2182,1004,3265,1736,693,1206,406,1952,7737
LAClippers,46,36,19930,2975,6445,481,1345,1732,2312,1051,3501,1654,737,1319,411,1860,8163
LALakers,26,56,19930,2922,6619,479,1379,1527,2126,1112,3480,1880,624,1298,386,1934,7850
MiamiHeat,21,61,19805,2687,6225,411,1133,1541,2108,1001,3318,1506,646,1264,390,1830,7326
MilwaukeeBucks,49,33,19730,2999,6355,369,1080,1606,2197,975,3234,1820,688,1159,392,1777,7973
MinnesotaT-wolves,42,40,19780,2945,6539,467,1291,1646,2185,1069,3433,1791,654,1216,445,1824,8003
NJNets,56,26,19780,3100,6681,520,1397,1628,2185,1067,3530,1925,679,1211,510,1780,8348
NYKnicks,25,57,19855,2665,6271,481,1373,1752,2389,912,3129,1591,727,1259,292,1882,7563
OrlandoMagic,37,45,19855,2966,6450,455,1327,1361,1860,1080,3478,1798,704,1262,417,1769,7748
Philadelphia76ers,60,22,19780,3314,7045,558,1529,1565,2133,1188,3640,2066,822,1241,482,2008,8751
PhoenixSuns,42,40,19855,3183,6817,545,1481,1466,1984,1050,3510,1988,662,1255,364,1836,8377
PortlandTrailBlazers,33,49,19855,2798,6423,453,1273,1719,2327,952,3149,1703,656,1192,420,1887,7768
SacramentoKings,48,34,19855,3010,6521,442,1254,1723,2337,1063,3404,1777,716,1222,426,1789,8185
SanAntonioSpurs,62,20,19730,3002,6379,550,1421,1508,2043,1048,3350,1955,664,1132,448,1646,8062
SeattleSupersonics,25,57,19780,2759,6259,613,1644,1513,2041,1015,3271,1751,634,1451,433,1925,7644
TorontoRaptors,52,30,19830,2971,6390,497,1427,1646,2274,1033,3385,1967,675,1295,441,1799,8085
UtahJazz,18,64,19830,2708,6188,521,1480,1796,2395,957,3058,1593,639,1279,372,2045,7733
VancouverGrizzlies,68,14,19780,3092,6556,496,1364,1468,2018,1206,3632,1974,725,1210,459,1593,8148
WashingtonBullets,38,44,19855,3011,6638,492,1328,1500,2004,1023,3358,1668,666,1296,322,1769,8014
